ID,uDay,uTime,uName,uTeacher,Day,Time,Name,Status,SignTime,dtStart,dtEnd,dtSignTime,Link
november23tuesday12:10pm-12:50pmpower&flow(i/a),Tuesday23,12:10pm-12:50pm,Power & Flow (I/A),Katherine B.,11/23/2021,12:10pm - 12:50pm,Power & Flow (I/A),Available,,2021-11-23 12:10:00,2021-11-23 12:50:00,,https://api.groupexpro.com/gxp/reservations/start/index/12535498/11/23/2021
november23tuesday4:30pm-5:15pmmovatiintervals(e),Tuesday23,4:30pm-5:15pm,Movati Intervals (E),Franchesca  W.,,,,,,2021-11-23 16:30:00,2021-11-23 17:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12411656/11/23/2021
november23tuesday4:30pm-5:15pmhatha(e),Tuesday23,4:30pm-5:15pm,Hatha (E),Katherine B.,,,,,,2021-11-23 16:30:00,2021-11-23 17:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12416397/11/23/2021
november23tuesday4:45pm-5:30pmpilates(e),Tuesday23,4:45pm-5:30pm,Pilates (E),Gillian L.,,,,,,2021-11-23 16:45:00,2021-11-23 17:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12460250/11/23/2021
november23tuesday5:30pm-6:30pm20-20-20(e),Tuesday23,5:30pm-6:30pm,20-20-20 (E),Sophia P.,,,,,,2021-11-23 17:30:00,2021-11-23 18:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12411674/11/23/2021
november23tuesday5:30pm-6:30pmsweat&surrender(e),Tuesday23,5:30pm-6:30pm,Sweat & Surrender (E),Katherine B.,,,,,,2021-11-23 17:30:00,2021-11-23 18:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12416400/11/23/2021
november23tuesday5:45pm-6:45pmspeed&power(e)â°,Tuesday23,5:45pm-6:45pm,Speed & Power (E) Â°,Mona M.,,,,,,2021-11-23 17:45:00,2021-11-23 18:45:00,,https://api.groupexpro.com/gxp/reservations/start/index/12410362/11/23/2021
november23tuesday6:45pm-7:45pmzumbaâ®(e),Tuesday23,6:45pm-7:45pm,ZumbaÂ® (E),Lucy  L.(sub for Semi S.),,,,,,2021-11-23 18:45:00,2021-11-23 19:45:00,,https://api.groupexpro.com/gxp/reservations/start/index/12422861/11/23/2021
november23tuesday6:45pm-7:45pmhatha(e),Tuesday23,6:45pm-7:45pm,Hatha (E),Suzan Heitman O.,,,,,,2021-11-23 18:45:00,2021-11-23 19:45:00,,https://api.groupexpro.com/gxp/reservations/start/index/12474539/11/23/2021
november23tuesday7:00pm-8:00pmaquaintensity(i),Tuesday23,7:00pm-8:00pm,Aqua Intensity (I),Kassie J.,,,,,,2021-11-23 19:00:00,2021-11-23 20:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12447749/11/23/2021
november23tuesday7:00pm-8:00pmmovatistrong($),Tuesday23,7:00pm-8:00pm,Movati Strong ($),Sim S.,,,,,,2021-11-23 19:00:00,2021-11-23 20:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12467660/11/23/2021
november24wednesday6:15am-7:15amsweat&surrender(e),Wednesday24,6:15am-7:15am,Sweat & Surrender (E),Katherine B.,,,,,,2021-11-24 06:15:00,2021-11-24 07:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12343879/11/24/2021
november24wednesday6:15am-7:15amspeed&power(e)â°,Wednesday24,6:15am-7:15am,Speed & Power (E) Â°,Nick Van L.,,,,,,2021-11-24 06:15:00,2021-11-24 07:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12343883/11/24/2021
november24wednesday6:15am-7:15ambootcamp(e),Wednesday24,6:15am-7:15am,Boot Camp (E),Franchesca  W.,,,,,,2021-11-24 06:15:00,2021-11-24 07:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12411742/11/24/2021
"november24wednesday9:00am-10:00amcore,balance&stretch(e)",Wednesday24,9:00am-10:00am,"Core, Balance & Stretch (E)",Elena  T.,,,,,,2021-11-24 09:00:00,2021-11-24 10:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12403525/11/24/2021
november24wednesday9:15am-10:15ammovatibarrephysique(e),Wednesday24,9:15am-10:15am,Movati Barre Physique (E),Siobhan D.,,,,,,2021-11-24 09:15:00,2021-11-24 10:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12413876/11/24/2021
november24wednesday9:30am-10:30ambootcamp(e),Wednesday24,9:30am-10:30am,Boot Camp (E),Mychel H.,,,,,,2021-11-24 09:30:00,2021-11-24 10:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12433332/11/24/2021
november24wednesday10:45am-11:45amfundamentalfitness(b),Wednesday24,10:45am-11:45am,Fundamental Fitness (B),Sheri-Lynn D.,,,,,,2021-11-24 10:45:00,2021-11-24 11:45:00,,https://api.groupexpro.com/gxp/reservations/start/index/12457417/11/24/2021
november24wednesday12:10pm-12:50pmspeed&power(e)â°,Wednesday24,12:10pm-12:50pm,Speed & Power (E) Â°,Giselle  V.,11/24/2021,12:10pm - 12:50pm,Speed & Power (E) °,TBO,11/21/2021 11:10:00,2021-11-24 12:10:00,2021-11-24 12:50:00,2021-11-21 11:10:00,https://api.groupexpro.com/gxp/reservations/start/index/12343889/11/24/2021
november24wednesday12:10pm-12:50pmzumbaâ®(e),Wednesday24,12:10pm-12:50pm,ZumbaÂ® (E),Samantha  B.,11/24/2021,12:10pm - 12:50pm,Zumba® (E),TBO,11/21/2021 11:10:00,2021-11-24 12:10:00,2021-11-24 12:50:00,2021-11-21 11:10:00,https://api.groupexpro.com/gxp/reservations/start/index/12411723/11/24/2021
november24wednesday12:10pm-12:50pmmovatibarrephysique(e),Wednesday24,12:10pm-12:50pm,Movati Barre Physique (E),Siobhan D.,11/24/2021,12:10pm - 12:50pm,Movati Barre Physique (E),TBO,11/21/2021 11:10:00,2021-11-24 12:10:00,2021-11-24 12:50:00,2021-11-21 11:10:00,https://api.groupexpro.com/gxp/reservations/start/index/12413889/11/24/2021
november24wednesday12:10pm-12:50pmhatha(e),Wednesday24,12:10pm-12:50pm,Hatha (E),Melanie Van L.,,,,,,2021-11-24 12:10:00,2021-11-24 12:50:00,,https://api.groupexpro.com/gxp/reservations/start/index/12487855/11/24/2021
november24wednesday4:00pm-5:00pmyin(e),Wednesday24,4:00pm-5:00pm,Yin (E),Angela T.,,,,,,2021-11-24 16:00:00,2021-11-24 17:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12464959/11/24/2021
november24wednesday4:30pm-5:15pmbootcamp(e),Wednesday24,4:30pm-5:15pm,Boot Camp (E),Denise R.,,,,,,2021-11-24 16:30:00,2021-11-24 17:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12531796/11/24/2021
november24wednesday4:45pm-5:30pmmovatibarrephysique(e),Wednesday24,4:45pm-5:30pm,Movati Barre Physique (E),Aida C.,,,,,,2021-11-24 16:45:00,2021-11-24 17:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12413903/11/24/2021
november24wednesday4:45pm-5:30pmspeed&power(e)â°,Wednesday24,4:45pm-5:30pm,Speed & Power (E) Â°,Jeff T.,,,,,,2021-11-24 16:45:00,2021-11-24 17:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12461877/11/24/2021
november24wednesday5:15pm-6:15pmhothatha(e),Wednesday24,5:15pm-6:15pm,Hot Hatha (E),Angela T.,,,,,,2021-11-24 17:15:00,2021-11-24 18:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12464983/11/24/2021
november24wednesday5:30pm-6:30pmaquaintensity(i),Wednesday24,5:30pm-6:30pm,Aqua Intensity (I),Kassie J.,,,,,,2021-11-24 17:30:00,2021-11-24 18:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12414519/11/24/2021
